KEY,English,Deutsch,Français,Italiano,Spanish,Portuguese (Euro),Portuguese (Brazil),Polish,Russian,Japanese,Chinese (simplified),Chinese (traditional),Korean,Turkish,Greek,Dutch,Vietnamese
pda_SaiO8eq,"Medical Log, Entry 2\n\nWe have multiple hull breaches throughout the ship. The drones chased us into an asteroid field, but they wouldn't leave. The captain has called for us to abandon ship. He's given me five minutes to find a way to save those remaining in Cryo Stasis. I can't even find a way for us to survive.\n\n- Doctor Pong",,,,,,,,,,医疗日志，条目2\n\n飞船多处船体破裂。无人机追赶我们进入小行星带，但它们不肯离开。船长已下令弃船。他给了我五分钟时间想办法拯救那些仍在冷冻睡眠中的人。我甚至找不到让我们自己活下去的办法。\n\n——庞医生,,,,,,
pda_uaeDOKa,"Medical Log, Entry 3\n\nI've had Engineer Brown transfer what power he can to the remaining Cryo Pods. Perhaps they will stand better a chance at survival than we do. We came out here looking for a new home, but all we found was death.  \n\n- Doctor Pong",,,,,,,,,,医疗日志，条目3\n\n我已让工程师布朗尽可能多地将能量转移到剩余的冷冻舱。也许它们比我们更有机会存活。我们来到这里寻找新家园，但我们找到的只有死亡。\n\n——庞医生,,,,,,
pda_iWmeCCW,"Helmsman 's Log, Entry 1\n\nI've double checked my calculations, triple checked them, and I've come to the unnerving conclusion that despite the ship's chronometer saying we've only been in stasis for eleven months, fifteen days and eighteen hours, Earth Standard Time obviously, we have somehow arrived six hundred years in our future, somewhere in the galaxy of Andromeda. we're currently running on auxiliary power, with most of our main power diverted to the remaining Cryo-Chambers to save what's left of our passengers. Until we can determine a course, the Captain has us holding position, broadcasting our distress signal at full strength. Perhaps the rest of the fleet will detect our signal and come looking for us.\n\n- Ensign Steinman",,,,,,,,,,舵手日志，条目1\n\n我反复核对了我的计算，再三检查，得出了一个令人不安的结论：尽管飞船的计时器显示我们只冷冻休眠了十一个月十五天十八小时（当然是地球标准时间），但我们不知何故来到了六百年后的未来，位于仙女座星系的某处。我们目前依靠辅助动力运行，大部分主能量被转移到剩余的冷冻舱以挽救幸存的乘客。在确定航线之前，船长命令我们保持当前位置，全功率广播我们的求救信号。也许舰队的其他部分会探测到我们的信号并前来寻找我们。\n\n——准尉斯坦曼,,,,,,
pda_Ga0e8Wi,"Helmsman 's Log, Entry 2\n\nThe Captain has called for all hands to abandon ship. I feel bad for those who are being left in cryo-stasis, but there isn't much we can do for them now. If anybody wakes up and reads this, there are some rations and a space suit in Cargo Module One. The Code to the locker is 1-7-9-2.\n\n- Ensign Steinman",,,,,,,,,,舵手日志，条目2\n\n船长下令全体弃船。我为那些被留在冷冻睡眠中的人感到难过，但我们现在做不了什么。如果有人醒来并读到这段文字，货舱模块一里有一些口粮和一套太空服。储物柜密码是1-7-9-2。\n\n——准尉斯坦曼,,,,,,
pda_mCaKOSa,"Engineer's Log Entry 1\n\nThe trip through the anomaly has left the ship no worse for wear, although our power reserves are low, and slowly dropping further. Much of the power drained has left many Cryo Chambers failing. While Doctor Pong assesses the state of the Cryo Chambers, I will be taking inventory of our supplies. With any luck, we should have what we need to fix the power drain. \n\n- Engineer Brown",,,,,,,,,,工程师日志条目1\n\n穿越异常的旅行并未给飞船造成更严重的损伤，尽管我们的能量储备很低，并且还在缓慢下降。大量能量流失导致许多冷冻舱失效。在庞医生评估冷冻舱状态的同时，我将盘点我们的补给。运气好的话，我们应该有修复能量泄漏所需的东西。\n\n——工程师布朗,,,,,,
pda_0eGuWeu,"Arrival Log Entry 3\n\nThe asteroid field we took refuge in concealed a hidden Starship Graveyard. Whether the sight of an ancient battle, or the dumping ground for some alien race, is impossible to tell without more in-depth analysis. Regardless of its origin, it seems this junk field will be the final resting place of the [c][3333e5]UES Rosignol[-][/c], as the drones have not only followed us into the field, but there were more waiting in ambush inside. We have no choice but to abandon ship, and pray that whatever cosmic forces reside in this galaxy watch over our passengers in Cryo Stasis until they revive on their own.\n\n- Captain Bodegar",,,,,,,,,,抵达日志条目3\n\n我们避难的小行星带中隐藏着一片废弃飞船墓地。无论是古战场遗迹，还是某种外星种族的垃圾场，没有更深入的分析是无法确定的。无论其来源如何，这片废铁场似乎将成为[c][3333e5]UES罗西尼奥尔[-][/c]的最终安息地，因为无人机不仅跟随着我们进入了小行星带，而且内部还有更多埋伏等待着。我们别无选择，只能弃船，并祈求这个星系中存在的任何宇宙力量能够保护我们冷冻睡眠中的乘客，直到他们自行苏醒。\n\n——博德加船长,,,,,,
pda_eqWuG0O,Medical Resupply: Research Team,,,,,,,,,,医疗补给：研究团队,,,,,,
pda_aQ0G4Gi,Open PDA,,,,,,,,,,打开PDA,,,,,,
pda_eqiiq8Q,Open PDA,,,,,,,,,,打开PDA,,,,,,
pda_CaeS4We,Approach Mysterious Structure,,,,,,,,,,接近神秘结构,,,,,,
pda_8Id4i8i,Go to the Mysterious Structure,,,,,,,,,,前往神秘结构,,,,,,
pda_euCiuGS,Awakening,,,,,,,,,,觉醒,,,,,,
pda_iG2KuK0,Story (UES Rossignol 1),,,,,,,,,,剧情（UES罗西尼奥尔1）,,,,,,
pda_U00WSiu,Search for Clues,,,,,,,,,,搜索线索,,,,,,
pda_aquKame,You received a distress signal on a [c][3333e5]United Earth[-][/c] frequency; from the [c][3333e5]UES Fukushima[-][/c]!\nIt appears that the signal originated from a nearby G-type star called Koronashi Beta. \nWe should head there and see if any of their crew or passengers survived.,,,,,,,,,,你在[c][3333e5]联合地球[-][/c]的频率上收到了一条求救信号；来自[c][3333e5]UES福岛[-][/c]！\n信号似乎源自附近一颗名为Koronashi Beta的G型恒星。\n我们应该前往那里，看看是否有船员或乘客幸存。,,,,,,
pda_C0SLu08,Open PDA,,,,,,,,,,打开PDA,,,,,,
pda_G4q8Jxi,Conclusions,,,,,,,,,,结论,,,,,,
pda_844KmGe,"So that's what happened, they were forced off ship before Engineer Brown could fix the teleporter.~~",,,,,,,,,,原来如此，他们是在工程师布朗修复传送器之前被迫离开飞船的。~~,,,,,,
pda_SWU8O4K,Search for clues.,,,,,,,,,,搜索线索。,,,,,,
pda_u4924KO,"Search the ship for clues, not just to what happened but how to escape!",,,,,,,,,,在飞船上搜索线索，不仅要找出发生了什么，还要找到逃脱的方法！,,,,,,
pda_qouWeue,"Scan the three Alien Obelisks on the planets Koronat, Brokanerth, and Aboged.",,,,,,,,,,扫描位于Koronat、Brokanerth和Aboged星球上的三座外星方尖碑。,,,,,,
pda_quu8GmK,"Scan the three Alien Obelisks on the planets Uropea, Or Madra, and Nomspera..",,,,,,,,,,扫描位于Uropea、Or Madra和Nomspera星球上的三座外星方尖碑。,,,,,,
pda_uGmY44e,Interspace Associate Salvager Badge,,,,,,,,,,星际拾荒者助理徽章,,,,,,
pda_GmmCeSP,Purchase Interspace Salvager Badge,,,,,,,,,,购买星际拾荒者徽章,,,,,,
pda_uKuuqCm,wait,,,,,,,,,,等待,,,,,,
pda_qSOG8Ga,wait,,,,,,,,,,等待,,,,,,
pda_C80WWqK,You have purchased an [c][57a86b]Interspace Salvager Badge[-][/c] identifying you as an official [c][57a86b]Salvager [-][/c]for [c][57a86b]Interspace Salvage Industries[-][/c]!,,,,,,,,,,你购买了一枚[c][57a86b]星际拾荒者徽章[-][/c]，这标志着你是[c][57a86b]拾荒者[-][/c]的正式成员，隶属于[c][57a86b]星际拾荒工业[-][/c]！,,,,,,
pda_iUW30eG,"Congratulations, you have completed the UES Leo Story Missions.\n\nYou have been awarded 50 UP.",,,,,,,,,,恭喜，你完成了UES狮子座剧情任务。\n\n你获得了50点UP。,,,,,,
pda_G08KuUi,"Congratulations, you have completed the UES Taurus Story Missions.\n\nYou have been awarded 50 UP.",,,,,,,,,,恭喜，你完成了UES金牛座剧情任务。\n\n你获得了50点UP。,,,,,,
pda_SNmOe0a,Completed the UES Leo Story Missions,,,,,,,,,,已完成UES狮子座剧情任务,,,,,,
pda_iVKhauw,Completed the UES Taurus Missions,,,,,,,,,,已完成UES金牛座任务,,,,,,
pda_U88sdOK,Completed the UES Fukushima Story Missions,,,,,,,,,,已完成UES福岛剧情任务,,,,,,
pda_or3aOSW,"Congratulations, you have completed the UES Fukushima Story Missions.\n\nYou have been awarded 100 UP.",,,,,,,,,,恭喜，你完成了UES福岛剧情任务。\n\n你获得了100点UP。,,,,,,
pda_0G0SCBK,"Congratulations, you have completed the UES Taurus Story Missions.\n\nYou have been awarded 100 UP.",,,,,,,,,,恭喜，你已完成 UES 金牛座故事任务。\n\n你获得了 100 UP。,,,,,,
pda_Sj8i4aS,"Congratulations, you have completed the UES Leo Story Missions.\n\nYou have been awarded 100 UP.",,,,,,,,,,恭喜，你已完成 UES 狮子号故事任务。\n\n你获得了 100 UP。,,,,,,
pda_44OmWui,"Congratulations, you have completed the UES Speedwell Story Missions.\n\nYou have been awarded 100 UP.",,,,,,,,,,恭喜，你已完成 UES 迅速号故事任务。\n\n你获得了 100 UP。,,,,,,
pda_eC8KK4A,"Quarantine Warning (Temperate - Vextar Orntell,)",,,,,,,,,,隔离警告（温带 - 韦克斯塔·奥恩特尔）,,,,,,
pda_8qSCKQ8,Wait,,,,,,,,,,等待,,,,,,
pda_qeiX4Ci,wait,,,,,,,,,,等待,,,,,,
pda_uICCW04,wait,,,,,,,,,,等待,,,,,,
pda_aaaeeeq,"If you wish to go down to on Vextar Orntell, you'll need to talk to Administrator Vrelk on board the Polaris Quarantine Station.",,,,,,,,,,如果你想前往韦克斯塔·奥恩特尔星，你需要与极星隔离站上的管理员弗雷尔克交谈。,,,,,,
pda_quarorbit2title,Quarantine Warning (Arid - Resona),,,,,,,,,,隔离警告（干旱 - 雷索纳）,,,,,,
pda_quarorbit3title,Quarantine Warning (Snow - Yersona),,,,,,,,,,隔离警告（雪地 - 耶尔索纳）,,,,,,
pda_quarorbit4title,Quarantine Warning (SSG - Thoyutis),,,,,,,,,,隔离警告（SSG - 索尤蒂斯）,,,,,,
pda_quarorbitsttitle,Quarantine Warning (QStarter),,,,,,,,,,隔离警告（Q启动器）,,,,,,
pda_quarorbit2,"If you wish to go down to on Resona, you'll need to talk to Administrator Berel on board the Polaris Quarantine Station.",,,,,,,,,,如果你想前往雷索纳星，你需要与极星隔离站上的管理员贝雷尔交谈。,,,,,,
pda_quarorbit3,"If you wish to go down to on Yersona, you'll need to talk to Administrator Jesep on board the Polaris Quarantine Station.",,,,,,,,,,如果你想前往耶尔索纳星，你需要与极星隔离站上的管理员耶塞普交谈。,,,,,,
pda_quarorbit4,"If you wish to go down to on Thoyutis, you'll need to talk to Administrator Arnor on board the Polaris Quarantine Station.",,,,,,,,,,如果你想前往索尤蒂斯星，你需要与极星隔离站上的管理员阿诺尔交谈。,,,,,,
pda_quarorbitst,"If you wish to go down to Vegra, you'll need to talk to Administrator Eldra on board the Polaris Quarantine Station.",,,,,,,,,,如果你想前往维格拉星，你需要与极星隔离站上的管理员埃德拉交谈。,,,,,,
pda_S4epKiG,Search Black Hole Systems,,,,,,,,,,搜索黑洞系统,,,,,,
pda_SeO0re4,Search Black Hole Systems around,,,,,,,,,,搜索周围的黑洞系统,,,,,,
pda_0Iy5Kq4,Black Hole Systems,,,,,,,,,,黑洞系统,,,,,,
pda_eOu4u4K,Search Black Hole Systems,,,,,,,,,,搜索黑洞系统,,,,,,
pda_8fquq0q,Speak to the Governor of Orion Colony,,,,,,,,,,与猎户座殖民地总督交谈,,,,,,
pda_44WiqaD,Talk to Governor Swanson,,,,,,,,,,与斯旺森总督交谈,,,,,,
pda_9mcqSq0,Talk to Governor,,,,,,,,,,与总督交谈,,,,,,
pda_C43mWui,Orion Colony - Part 1,,,,,,,,,,猎户座殖民地 - 第 1 部分,,,,,,
pda_KuT4eSU,Story (UES Orion),,,,,,,,,,故事（UES 猎户座）,,,,,,
pda_We0SaOA,wait,,,,,,,,,,等待,,,,,,
pda_GauC80G,wait,,,,,,,,,,等待,,,,,,
pda_W4CWeK8,wait,,,,,,,,,,等待,,,,,,
pda_KkAuEiW,Orion Colony (Endgame),,,,,,,,,,猎户座殖民地（终局）,,,,,,
pda_emiK4GS,Endgame,,,,,,,,,,终局,,,,,,
pda_m8mKmuO,Endgame,,,,,,,,,,终局,,,,,,
pda_aGN0DS8,Endgame,,,,,,,,,,终局,,,,,,
pda_Gxu4a4m,You have decided to remain on Orion Colony as a member of their community. You live out the remainder of your days in the company of others from the United Earth Fleet.,,,,,,,,,,你决定留在猎户座殖民地，成为他们社区的一员。你在联合地球舰队同伴的陪伴下度过余生。,,,,,,
pda_GiW4m4q,Orion Colony - Part 2,,,,,,,,,,猎户座殖民地 - 第 2 部分,,,,,,
pda_HucGiM8,wait,,,,,,,,,,等待,,,,,,
pda_KqSKe0u,wait,,,,,,,,,,等待,,,,,,
pda_ue8OGAK,wait,,,,,,,,,,等待,,,,,,
pda_m4W0ia8,"Congratulations, you have completed the UES Orion Story Missions.\n\nYou have been awarded 150 UP.",,,,,,,,,,恭喜，你已完成 UES 猎户座故事任务。\n\n你获得了 150 UP。,,,,,,
pda_euaSSWZ,Completed the UES Fukushima Story Missions,,,,,,,,,,已完成 UES 福岛故事任务,,,,,,
pda_KUWeKaq,Completed the UES Orion Story Missions,,,,,,,,,,已完成 UES 猎户座故事任务,,,,,,
pda_C4KqGe8,Colony Log 1,,,,,,,,,,殖民地日志 1,,,,,,
pda_OmaQq4S,Orion Colony,,,,,,,,,,猎户座殖民地,,,,,,
pda_g4uu0au,Colony Log 2,,,,,,,,,,殖民地日志 2,,,,,,
pda_q8O08Wu,Colony Log 3,,,,,,,,,,殖民地日志 3,,,,,,
pda_0Of4SW0,Colony Log 4,,,,,,,,,,殖民地日志 4,,,,,,
pda_JE34Oew,Colony Log 5,,,,,,,,,,殖民地日志 5,,,,,,
pda_C4OWMaW,Engineering Log 1,,,,,,,,,,工程日志 1,,,,,,
pda_qim20mu,Engineering Log 2,,,,,,,,,,工程日志 2,,,,,,
pda_KS6aWC0,Medical Log 1,,,,,,,,,,医疗日志 1,,,,,,
pda_GGKeQee,Medical Log 2,,,,,,,,,,医疗日志 2,,,,,,
pda_me4N8qK,wait,,,,,,,,,,等待,,,,,,
pda_eSCH44q,wait,,,,,,,,,,等待,,,,,,
pda_mWu0aQO,wait,,,,,,,,,,等待,,,,,,
pda_8auG4a0,wait,,,,,,,,,,等待,,,,,,
pda_msiCuaM,wait,,,,,,,,,,等待,,,,,,
pda_0WSqSie,wait,,,,,,,,,,等待,,,,,,
pda_iiu8i8i,wait,,,,,,,,,,等待,,,,,,
pda_GSUUqZ0,wait,,,,,,,,,,等待,,,,,,
pda_8WqIASi,wait,,,,,,,,,,等待,,,,,,
pda_kmCKmEC,wait,,,,,,,,,,等待,,,,,,
pda_OKpkeku,wait,,,,,,,,,,等待,,,,,,
pda_wKC0B0W,wait,,,,,,,,,,等待,,,,,,
pda_ae8oaaG,wait,,,,,,,,,,等待,,,,,,
pda_4J4SWO0,wait,,,,,,,,,,等待,,,,,,
pda_4CGSaSm,wait,,,,,,,,,,等待,,,,,,
pda_0Caq4Me,wait,,,,,,,,,,等待,,,,,,
pda_uq4aGdG,wait,,,,,,,,,,等待,,,,,,
pda_amq0bGa,wait,,,,,,,,,,等待,,,,,,
pda_qSWNsOq,wait,,,,,,,,,,等待,,,,,,
pda_1u0CCeC,UES Bonneville,,,,,,,,,,UES 博纳维尔,,,,,,
pda_qu08uu8,Return to Governor Swanson,,,,,,,,,,返回斯旺森总督处,,,,,,
pda_G4uuq8S,UES Bonneville,,,,,,,,,,UES 博纳维尔,,,,,,
pda_uq8WSei,Return to Governor Swanson,,,,,,,,,,返回斯旺森总督处,,,,,,
pda_uK4eKWS,Locate the UES Bonneville,,,,,,,,,,定位 UES 博纳维尔,,,,,,
pda_eiC8K4W,Talk to Governor Swanson,,,,,,,,,,与斯旺森总督交谈,,,,,,
pda_KaaDCCO,The Curse of the UES Bonneville,,,,,,,,,,UES 博纳维尔的诅咒,,,,,,
pda_umiGase,Story (UES Bonneville),,,,,,,,,,故事（UES 博纳维尔）,,,,,,
pda_eWuGqGG,"Find a way to stop the UES Bonneville's movement, the board the ship and search the ship logs for clues to the fate of her crew.",,,,,,,,,,找到阻止 UES 博纳维尔移动的方法，登上飞船搜索飞船日志，寻找船员命运的线索。,,,,,,
pda_I8CW4u0,Download Bonneville Sensor Data,,,,,,,,,,下载博纳维尔传感器数据,,,,,,
pda_m8Wq4Sq,Bonneville Sensor Data,,,,,,,,,,博纳维尔传感器数据,,,,,,
pda_qWOi4eq,Download Sensor Data,,,,,,,,,,下载传感器数据,,,,,,
pda_W0KsnC0,Search the Ship,,,,,,,,,,搜索飞船,,,,,,
pda_iq408u0,Search the Ship,,,,,,,,,,搜索飞船,,,,,,
pda_Smqaa4e,Search the Ship,,,,,,,,,,搜索飞船,,,,,,
pda_oCOgiCC,Search the Bonneville,,,,,,,,,,搜索博纳维尔,,,,,,
pda_aqqSauq,Search the Bonneville,,,,,,,,,,搜索博纳维尔,,,,,,
pda_Sp0EbIi,Search the Bonneville,,,,,,,,,,搜索博纳维尔,,,,,,
pda_AO3m0e0,Search the Ship,,,,,,,,,,搜索飞船,,,,,,
pda_G4GmGuS,Arrival Log 1,,,,,,,,,,抵达日志 1,,,,,,
pda_OKCGcH8,Arrival Log 2,,,,,,,,,,抵达日志 2,,,,,,
pda_8mSVS8O,Arrival Log 3,,,,,,,,,,抵达日志 3,,,,,,
pda_GqGu0ei,Arrival Log 4,,,,,,,,,,抵达日志 4,,,,,,
pda_OCCGC80,Engineer Log 1,,,,,,,,,,工程日志 1,,,,,,
pda_KmC8i4K,Engineer Log 2,,,,,,,,,,工程日志 2,,,,,,
pda_WqqK8i4,Engineer Log 3,,,,,,,,,,工程日志 3,,,,,,
pda_OCKWeWG,Engineer Log 4,,,,,,,,,,工程日志 4,,,,,,
pda_0ucbKuW,Medical Log 1,,,,,,,,,,医疗日志 1,,,,,,
pda_nkOmuGC,Medical Log 2,,,,,,,,,,医疗日志 2,,,,,,
pda_8O80KaK,Medical Log 3,,,,,,,,,,医疗日志 3,,,,,,
pda_8iiSuKj,Medical Log 4,,,,,,,,,,医疗日志 4,,,,,,
pda_0Gqta0a,Helmsman Log 1,,,,,,,,,,舵手日志 1,,,,,,
pda_0ieNqaK,Helmsman Log 2,,,,,,,,,,舵手日志 2,,,,,,
pda_q80n0u4,Helmsman Log 3,,,,,,,,,,舵手日志 3,,,,,,
pda_GeimmWe,UES Bonneville,,,,,,,,,,UES 博纳维尔,,,,,,
pda_6YS4CO8,You have uncovered the UES Bonneville: Arrival Log 1,,,,,,,,,,你已发现 UES 博纳维尔：抵达日志 1,,,,,,
pda_0dKGCWe,You have uncovered the UES Bonneville: Arrival Log 2,,,,,,,,,,你已发现 UES 博纳维尔：抵达日志 2,,,,,,
pda_84KaOOE,You have uncovered the UES Bonneville: Arrival Log 3,,,,,,,,,,你已发现 UES 博纳维尔：抵达日志 3,,,,,,
pda_WKUOOO0,You have uncovered the UES Bonneville: Arrival Log 4,,,,,,,,,,你已发现 UES 博纳维尔：抵达日志 4,,,,,,
pda_mKuOaam,You have uncovered the UES Bonneville: Engineer Log 1,,,,,,,,,,你已发现 UES 博纳维尔：工程日志 1,,,,,,
pda_GOuuCam,You have uncovered the UES Bonneville: Engineer Log 2,,,,,,,,,,你已发现 UES 博纳维尔：工程日志 2,,,,,,
pda_0uaaG88,You have uncovered the UES Bonneville: Engineer Log 3,,,,,,,,,,你已发现 UES 博纳维尔：工程日志 3,,,,,,
pda_4i8eeeu,You have uncovered the UES Bonneville: Engineer Log 4,,,,,,,,,,你已发现 UES 博纳维尔：工程日志 4,,,,,,
pda_000GKiq,You have uncovered the UES Bonneville: Medical Log 1,,,,,,,,,,你已发现 UES 博纳维尔：医疗日志 1,,,,,,
pda_iWWGGC4,You have uncovered the UES Bonneville: Medical Log 2,,,,,,,,,,你已发现 UES 博纳维尔：医疗日志 2,,,,,,
pda_G2wp83o,You have uncovered the UES Bonneville: Medical Log 3,,,,,,,,,,你已发现 UES 博纳维尔：医疗日志 3,,,,,,
pda_uLm0SCS,You have uncovered the UES Bonneville: Medical Log 4,,,,,,,,,,你已发现 UES 博纳维尔：医疗日志 4,,,,,,
pda_umCq0GW,You have uncovered the UES Bonneville: Helmsman Log 1,,,,,,,,,,你已发现 UES 博纳维尔：舵手日志 1,,,,,,
pda_4qGemae,You have uncovered the UES Bonneville: Helmsman Log 2,,,,,,,,,,你已发现 UES 博纳维尔：舵手日志 2,,,,,,
pda_KmCaG8G,You have uncovered the UES Bonneville: Helmsman Log 3,,,,,,,,,,你已发现 UES 博纳维尔：舵手日志 3,,,,,,
pda_SWeaaDq,Uncovered Bonneville: Arrival Log 1,,,,,,,,,,发现：博纳维尔：抵达日志 1,,,,,,
pda_8i0G7OK,Uncovered Bonneville: Arrival Log 2,,,,,,,,,,发现：博纳维尔：抵达日志 2,,,,,,
pda_SKu4CK8,Uncovered Bonneville: Arrival Log 3,,,,,,,,,,发现：博纳维尔：抵达日志 3,,,,,,
pda_uaqLeGq,Uncovered Bonneville: Arrival Log 4,,,,,,,,,,发现：博纳维尔：抵达日志 4,,,,,,
pda_uQmKaqE,Uncovered Bonneville: Engineer Log 1,,,,,,,,,,发现：博纳维尔：工程日志 1,,,,,,
pda_SQiQq4K,Uncovered Bonneville: Engineer Log 2,,,,,,,,,,发现：博纳维尔：工程日志 2,,,,,,
pda_pm4OV40,Uncovered Bonneville: Engineer Log 3,,,,,,,,,,发现：博纳维尔：工程日志 3,,,,,,
pda_cGG04eK,Uncovered Bonneville: Engineer Log 4,,,,,,,,,,发现：博纳维尔：工程日志 4,,,,,,
pda_8m80eiO,Uncovered Bonneville: Medical Log 1,,,,,,,,,,发现：博纳维尔：医疗日志 1,,,,,,
pda_0CC0C4C,Uncovered Bonneville: Medical Log 2,,,,,,,,,,发现：博纳维尔：医疗日志 2,,,,,,
pda_KK4uNO0,Uncovered Bonneville: Medical Log 3,,,,,,,,,,发现：博纳维尔：医疗日志 3,,,,,,
pda_0KO0rq0,Uncovered Bonneville: Medical Log 4,,,,,,,,,,发现：博纳维尔：医疗日志 4,,,,,,
pda_XSS4aea,Uncovered Bonneville: Helmsman Log 1,,,,,,,,,,发现：博纳维尔：舵手日志 1,,,,,,
pda_8GuUY0u,Uncovered Bonneville: Helmsman Log 2,,,,,,,,,,发现：博纳维尔：舵手日志 2,,,,,,
pda_4WiRCKa,Uncovered Bonneville: Helmsman Log 3,,,,,,,,,,发现：博纳维尔：舵手日志 3,,,,,,
pda_qGCKCeO,wait,,,,,,,,,,等待,,,,,,
pda_mCu44q8,wait,,,,,,,,,,等待,,,,,,
pda_8SqOjC4,wait,,,,,,,,,,等待,,,,,,
pda_a0eO0m8,wait,,,,,,,,,,等待,,,,,,
pda_8O2qSS4,wait,,,,,,,,,,等待,,,,,,
pda_iCqWOOi,wait,,,,,,,,,,等待,,,,,,
pda_muOu8Sm,wait,,,,,,,,,,等待,,,,,,
pda_WKiGmqW,wait,,,,,,,,,,等待,,,,,,
pda_4aGaexG,wait,,,,,,,,,,等待,,,,,,
pda_GWG40KS,wait,,,,,,,,,,等待,,,,,,
pda_Wie0a40,wait,,,,,,,,,,等待,,,,,,
pda_G8iKe0I,wait,,,,,,,,,,等待,,,,,,
pda_uq8uu8o,wait,,,,,,,,,,等待,,,,,,
pda_Km4eWqg,wait,,,,,,,,,,等待,,,,,,
pda_O4qeiWq,wait,,,,,,,,,,等待,,,,,,
pda_WGWiiCc,wait,,,,,,,,,,等待,,,,,,
pda_uqiS00K,wait,,,,,,,,,,等待,,,,,,
pda_ema0eaK,wait,,,,,,,,,,等待,,,,,,
pda_0Kqa4mC,wait,,,,,,,,,,等待,,,,,,
pda_maB40SW,wait,,,,,,,,,,等待,,,,,,
pda_iSi08KK,wait,,,,,,,,,,等待,,,,,,
pda_aqRSeK8,wait,,,,,,,,,,等待,,,,,,
pda_SCq8qam,wait,,,,,,,,,,等待,,,,,,
pda_W0uOeiW,wait,,,,,,,,,,等待,,,,,,
pda_m8VoVia,wait,,,,,,,,,,等待,,,,,,
pda_gee4ia4,wait,,,,,,,,,,等待,,,,,,
pda_umquc4W,wait,,,,,,,,,,等待,,,,,,
pda_WWumeGq,wait,,,,,,,,,,等待,,,,,,
pda_AKuqq38,wait,,,,,,,,,,等待,,,,,,
pda_q008mu4,wait,,,,,,,,,,等待,,,,,,
pda_SOquiK8,Bonneville Sensor Data,,,,,,,,,,邦纳维尔传感器数据,,,,,,
pda_4EqaCq0,Analyze the Bonneville Sensor Data,,,,,,,,,,分析邦纳维尔传感器数据,,,,,,
pda_8KCOWU4,Analyze the Bonneville Sensor Data,,,,,,,,,,分析邦纳维尔传感器数据,,,,,,
pda_WmmS0uq,Analyze Data,,,,,,,,,,分析数据,,,,,,
pda_8g2mauM,Fukushima Distress Call,,,,,,,,,,福岛求救信号,,,,,,
pda_O8OiSCO,wait,,,,,,,,,,等待,,,,,,
pda_iGWGmS8,Fukushima Distress Call,,,,,,,,,,福岛求救信号,,,,,,
pda_WieeGGa,wait,,,,,,,,,,等待,,,,,,
pda_mCaGSSM,Fukushima Distress Call,,,,,,,,,,福岛求救信号,,,,,,
pda_eY8miKa,wait,,,,,,,,,,等待,,,,,,
pda_mMCuiPI,Fukushima Distress Call,,,,,,,,,,福岛求救信号,,,,,,
pda_iSKaaOC,wait,,,,,,,,,,等待,,,,,,
pda_sWCKaqm,wait,,,,,,,,,,等待,,,,,,
pda_K8lSCCu,wait,,,,,,,,,,等待,,,,,,
pda_GqeGGif,wait,,,,,,,,,,等待,,,,,,
pda_mCviC80,wait,,,,,,,,,,等待,,,,,,
pda_mOe4WiS,Fate of the Fleet,,,,,,,,,,舰队的命运,,,,,,
pda_uKqeWKp,Meriwether Rendezvous,,,,,,,,,,梅里韦瑟汇合,,,,,,
pda_qX0iCSG,Story (UES Meriwether),,,,,,,,,,故事（UES 梅里韦瑟）,,,,,,
pda_ECiEmGC,Rendezvous with the UES Meriwether,,,,,,,,,,与UES 梅里韦瑟汇合,,,,,,
pda_G0uK4eW,UES Taurus,,,,,,,,,,UES 金牛座,,,,,,
pda_GOh0eKe,UES Leo,,,,,,,,,,UES 狮子座,,,,,,
pda_iSumSCS,UES Speedwell,,,,,,,,,,UES 斯皮德韦尔,,,,,,
pda_W6u3eK8,UES Rossignol,,,,,,,,,,UES 罗西尼奥尔,,,,,,
pda_q04SOSu,UES Chalut,,,,,,,,,,UES 沙吕,,,,,,
pda_OuaCSa4,UES Fukushima,,,,,,,,,,UES 福岛,,,,,,
pda_qem4omS,UES Orion,,,,,,,,,,UES 猎户座,,,,,,
pda_00mSami,UES Bonneville,,,,,,,,,,UES 邦纳维尔,,,,,,
pda_muKqMqq,UES Meriwether,,,,,,,,,,UES 梅里韦瑟,,,,,,
pda_0OiWKK8,Rendezvous with the Meriwether,,,,,,,,,,与梅里韦瑟汇合,,,,,,
pda_mxmuHIi,Locate the Ships of the United Earth Fleet,,,,,,,,,,定位地球联合舰队的飞船,,,,,,
pda_ueiq8ga,UES Taurus,,,,,,,,,,UES 金牛座,,,,,,
pda_GOieWi4,UES Leo,,,,,,,,,,UES 狮子座,,,,,,
pda_WC8Q4Ou,UES Speedwell,,,,,,,,,,UES 斯皮德韦尔,,,,,,
pda_eiKK4Ci,UES Rossignol,,,,,,,,,,UES 罗西尼奥尔,,,,,,
pda_WamSeaW,UES Chalut,,,,,,,,,,UES 沙吕,,,,,,
pda_0uOW8Ca,UES Fukushima,,,,,,,,,,UES 福岛,,,,,,
pda_CuKGWpe,UES Orion,,,,,,,,,,UES 猎户座,,,,,,
pda_iueuKqq,UES Bonneville,,,,,,,,,,UES 邦纳维尔,,,,,,
pda_WGmqSK8,Rank 10: Meriwether Rendezvous,,,,,,,,,,等级 10：梅里韦瑟汇合,,,,,,
